Model,TBS1102C
Firmware Version,v1.29.30

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0004,
Sample Interval,3.2e-07,
Filter Frequency,2e+08,
Record Length,20000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-3.2000e-03,-2.34516,0.414219
-3.1997e-03,-2.34344,0.411875
-3.1994e-03,-2.33578,0.412656
-3.1990e-03,-2.33406,0.419531
-3.1987e-03,-2.32516,0.416875
-3.1984e-03,-2.31703,0.41375
-3.1981e-03,-2.31828,0.422031
-3.1978e-03,-2.30797,0.40625
-3.1974e-03,-2.31312,0.420156
-3.1971e-03,-2.29547,0.424531
-3.1968e-03,-2.29312,0.416875
-3.1965e-03,-2.28453,0.4275
-3.1962e-03,-2.275,0.427656
-3.1958e-03,-2.27328,0.419844
-3.1955e-03,-2.27625,0.43125
-3.1952e-03,-2.27094,0.430625
-3.1949e-03,-2.255,0.414844
-3.1946e-03,-2.265,0.44375
-3.1942e-03,-2.24703,0.434375
-3.1939e-03,-2.23578,0.429531
-3.1936e-03,-2.23609,0.456406
-3.1933e-03,-2.23953,0.430938
-3.1930e-03,-2.22875,0.430312
-3.1926e-03,-2.23016,0.453281
-3.1923e-03,-2.22734,0.435469
-3.1920e-03,-2.21781,0.445469
-3.1917e-03,-2.19578,0.462031
-3.1914e-03,-2.21109,0.442969
-3.1910e-03,-2.21328,0.455
-3.1907e-03,-2.19266,0.474219
-3.1904e-03,-2.19109,0.447969
-3.1901e-03,-2.18688,0.456406
-3.1898e-03,-2.18547,0.468438
-3.1894e-03,-2.16688,0.461562
-3.1891e-03,-2.18312,0.466719
-3.1888e-03,-2.15703,0.48625
-3.1885e-03,-2.1525,0.467188
-3.1882e-03,-2.14922,0.475313
-3.1878e-03,-2.14828,0.467656
-3.1875e-03,-2.13469,0.462656
-3.1872e-03,-2.13766,0.486094
-3.1869e-03,-2.12922,0.473281
-3.1866e-03,-2.12984,0.465313
-3.1862e-03,-2.12828,0.487031
-3.1859e-03,-2.10703,0.484844
-3.1856e-03,-2.12766,0.479844
-3.1853e-03,-2.09844,0.490781
-3.1850e-03,-2.10688,0.494688
-3.1846e-03,-2.10672,0.49125
-3.1843e-03,-2.08141,0.506406
-3.1840e-03,-2.0725,0.494688
-3.1837e-03,-2.07094,0.492969
-3.1834e-03,-2.07563,0.504219
-3.1830e-03,-2.07578,0.492969
-3.1827e-03,-2.06875,0.497969
-3.1824e-03,-2.05313,0.521719
-3.1821e-03,-2.04922,0.512188
-3.1818e-03,-2.04031,0.51375
-3.1814e-03,-2.03906,0.520469
-3.1811e-03,-2.04547,0.500781
-3.1808e-03,-2.03578,0.50875
-3.1805e-03,-2.01734,0.524219
-3.1802e-03,-2.00891,0.507344
-3.1798e-03,-2.01297,0.521875
-3.1795e-03,-2.00891,0.534219
-3.1792e-03,-1.99578,0.512813
-3.1789e-03,-2.00469,0.523281
-3.1786e-03,-1.99594,0.527969
-3.1782e-03,-1.98016,0.513125
-3.1779e-03,-1.98,0.537969
-3.1776e-03,-1.96875,0.54125
-3.1773e-03,-1.96797,0.527031
-3.1770e-03,-1.96,0.533438
-3.1766e-03,-1.95891,0.540156
-3.1763e-03,-1.95516,0.530625
-3.1760e-03,-1.95125,0.557031
-3.1757e-03,-1.955,0.549844
-3.1754e-03,-1.93766,0.530938
-3.1750e-03,-1.94828,0.553594
-3.1747e-03,-1.93312,0.552813
-3.1744e-03,-1.91734,0.549063
-3.1741e-03,-1.925,0.55625
-3.1738e-03,-1.91953,0.551094
-3.1734e-03,-1.91609,0.553125
-3.1731e-03,-1.91297,0.572813
-3.1728e-03,-1.90938,0.550156
-3.1725e-03,-1.89641,0.562813
-3.1722e-03,-1.89828,0.571875
-3.1718e-03,-1.88563,0.5775
-3.1715e-03,-1.88,0.573125
-3.1712e-03,-1.88516,0.578438
-3.1709e-03,-1.88688,0.571562
-3.1706e-03,-1.87328,0.580625
-3.1702e-03,-1.85031,0.587344
-3.1699e-03,-1.86016,0.5775
-3.1696e-03,-1.86766,0.585625
-3.1693e-03,-1.85484,0.597969
-3.1690e-03,-1.84,0.580937
-3.1686e-03,-1.84,0.592969
-3.1683e-03,-1.83297,0.590156
-3.1680e-03,-1.83781,0.579063
-3.1677e-03,-1.83016,0.602812
-3.1674e-03,-1.81547,0.600938
-3.1670e-03,-1.82313,0.604531
-3.1667e-03,-1.80922,0.608594
-3.1664e-03,-1.81406,0.612031
-3.1661e-03,-1.79609,0.596094
-3.1658e-03,-1.80063,0.611719
-3.1654e-03,-1.79906,0.614531
-3.1651e-03,-1.79172,0.600313
-3.1648e-03,-1.79156,0.628281
-3.1645e-03,-1.78906,0.605469
-3.1642e-03,-1.77313,0.623437
-3.1638e-03,-1.76578,0.635781
-3.1635e-03,-1.765,0.619688
-3.1632e-03,-1.76484,0.639062
-3.1629e-03,-1.76453,0.638125
-3.1626e-03,-1.75891,0.635781
-3.1622e-03,-1.75156,0.631094
-3.1619e-03,-1.73375,0.654687
-3.1616e-03,-1.73547,0.633906
-3.1613e-03,-1.72203,0.638281
-3.1610e-03,-1.71859,0.672188
-3.1606e-03,-1.73156,0.649062
