Wed Jun 14 01:14:23 2023

        Time,      Tsample,     Integral,       Moment,            M,      M(Mass), Tsample(Aver),            H
           s,            K,           Vs,          emu,     emu/cm^3,        emu/g,            K,            T

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
4.550293E+00 3.402000E+02 1.547366E-07 7.297994E-04 1.552765E-05 1.552765E-02 3.402000E+02 0.000000E+00 
1.106006E+01 3.402000E+02 6.702433E-07 3.161133E-03 6.725815E-05 6.725815E-02 3.402000E+02 0.000000E+00 
1.746045E+01 3.402000E+02 3.965219E-07 1.870154E-03 3.979052E-05 3.979052E-02 3.402000E+02 0.000000E+00 
2.385010E+01 3.402000E+02 5.535368E-07 2.610699E-03 5.554679E-05 5.554679E-02 3.402000E+02 0.000000E+00 
3.015039E+01 3.402000E+02 4.773552E-07 2.251396E-03 4.790205E-05 4.790205E-02 3.402000E+02 0.000000E+00 
3.667041E+01 3.401000E+02 1.697908E-07 8.008008E-04 1.703832E-05 1.703832E-02 3.401000E+02 0.000000E+00 
4.295020E+01 3.401000E+02 3.202389E-07 1.510373E-03 3.213561E-05 3.213561E-02 3.401000E+02 0.000000E+00 
4.970020E+01 3.400000E+02 5.846075E-07 2.757241E-03 5.866470E-05 5.866470E-02 3.400000E+02 0.000000E+00 
5.607031E+01 3.399000E+02 4.936439E-07 2.328220E-03 4.953660E-05 4.953660E-02 3.399000E+02 0.000000E+00 
6.247998E+01 3.398000E+02 6.841214E-07 3.226588E-03 6.865081E-05 6.865081E-02 3.398000E+02 0.000000E+00 
6.887012E+01 3.397000E+02 6.756775E-07 3.186763E-03 6.780347E-05 6.780347E-02 3.397000E+02 0.000000E+00 
7.534033E+01 3.395000E+02 5.268902E-07 2.485023E-03 5.287283E-05 5.287283E-02 3.395000E+02 0.000000E+00 
8.171045E+01 3.393000E+02 9.472213E-07 4.467471E-03 9.505258E-05 9.505258E-02 3.393000E+02 0.000000E+00 
8.814014E+01 3.392000E+02 5.522378E-07 2.604573E-03 5.541644E-05 5.541644E-02 3.392000E+02 0.000000E+00 
9.461035E+01 3.390000E+02 6.754898E-07 3.185878E-03 6.778463E-05 6.778463E-02 3.390000E+02 0.000000E+00 
1.013901E+02 3.388000E+02 4.758602E-07 2.244346E-03 4.775203E-05 4.775203E-02 3.388000E+02 0.000000E+00 
1.077104E+02 3.386000E+02 6.618569E-07 3.121579E-03 6.641658E-05 6.641658E-02 3.386000E+02 0.000000E+00 
1.146401E+02 3.383000E+02 7.037362E-07 3.319099E-03 7.061913E-05 7.061913E-02 3.383000E+02 0.000000E+00 
1.211802E+02 3.381000E+02 2.682639E-07 1.265239E-03 2.691998E-05 2.691998E-02 3.381000E+02 0.000000E+00 
1.278901E+02 3.378000E+02 3.919548E-07 1.848614E-03 3.933222E-05 3.933222E-02 3.378000E+02 0.000000E+00 
1.346001E+02 3.375000E+02 4.454202E-07 2.100779E-03 4.469742E-05 4.469742E-02 3.375000E+02 0.000000E+00 
1.409102E+02 3.373000E+02 5.013020E-07 2.364339E-03 5.030509E-05 5.030509E-02 3.373000E+02 0.000000E+00 
1.475601E+02 3.370000E+02 5.039429E-07 2.376794E-03 5.057010E-05 5.057010E-02 3.370000E+02 0.000000E+00 
1.540000E+02 3.367000E+02 3.779246E-07 1.782442E-03 3.792431E-05 3.792431E-02 3.367000E+02 0.000000E+00 
1.605103E+02 3.364000E+02 9.218471E-07 4.347796E-03 9.250631E-05 9.250631E-02 3.364000E+02 0.000000E+00 
1.665000E+02 3.361000E+02 1.319183E-06 6.221789E-03 1.323785E-04 1.323785E-01 3.361000E+02 0.000000E+00 
1.730703E+02 3.358000E+02 1.156158E-06 5.452900E-03 1.160192E-04 1.160192E-01 3.358000E+02 0.000000E+00 
1.799800E+02 3.355000E+02 1.333843E-06 6.290932E-03 1.338496E-04 1.338496E-01 3.355000E+02 0.000000E+00 
1.864702E+02 3.351000E+02 1.031002E-06 4.862613E-03 1.034598E-04 1.034598E-01 3.351000E+02 0.000000E+00 
1.924102E+02 3.349000E+02 1.360367E-06 6.416031E-03 1.365113E-04 1.365113E-01 3.349000E+02 0.000000E+00 
1.987300E+02 3.346000E+02 1.343489E-06 6.336427E-03 1.348176E-04 1.348176E-01 3.346000E+02 0.000000E+00 
2.049502E+02 3.343000E+02 1.460669E-06 6.889097E-03 1.465765E-04 1.465765E-01 3.343000E+02 0.000000E+00 
2.119004E+02 3.339000E+02 1.536429E-06 7.246411E-03 1.541789E-04 1.541789E-01 3.339000E+02 0.000000E+00 
2.180903E+02 3.336000E+02 1.519231E-06 7.165296E-03 1.524531E-04 1.524531E-01 3.336000E+02 0.000000E+00 
2.245400E+02 3.333000E+02 2.090051E-06 9.857510E-03 2.097343E-04 2.097343E-01 3.333000E+02 0.000000E+00 
2.310103E+02 3.330000E+02 1.845196E-06 8.702677E-03 1.851633E-04 1.851633E-01 3.330000E+02 0.000000E+00 
2.374102E+02 3.327000E+02 1.929123E-06 9.098508E-03 1.935853E-04 1.935853E-01 3.327000E+02 0.000000E+00 
