Tue Jun 13 19:03:34 2023

        Time,      Tsample,     Integral,       Moment,            M,      M(Mass), Tsample(Aver),            H
           s,            K,           Vs,          emu,     emu/cm^3,        emu/g,            K,            T

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
7.367188E+00 3.400000E+02 -1.124934E-06 -5.305634E-03 -1.128858E-04 -1.128858E-01 3.400000E+02 0.000000E+00 
6.898438E+01 3.400000E+02 -8.818238E-07 -4.159031E-03 -8.849002E-05 -8.849002E-02 3.400000E+02 5.000000E-03 
1.305938E+02 3.400000E+02 -7.024720E-07 -3.313136E-03 -7.049227E-05 -7.049227E-02 3.400000E+02 1.000000E-02 
1.894062E+02 3.400000E+02 -7.832819E-07 -3.694268E-03 -7.860145E-05 -7.860145E-02 3.400000E+02 1.500000E-02 
2.466250E+02 3.400000E+02 -4.726069E-07 -2.229001E-03 -4.742556E-05 -4.742556E-02 3.400000E+02 2.000000E-02 
3.014453E+02 3.400000E+02 1.892315E-06 8.924909E-03 1.898917E-04 1.898917E-01 3.400000E+02 2.500000E-02 
3.548594E+02 3.400000E+02 2.276294E-06 1.073591E-02 2.284235E-04 2.284235E-01 3.400000E+02 3.000000E-02 
4.094688E+02 3.400000E+02 2.743934E-06 1.294148E-02 2.753506E-04 2.753506E-01 3.400000E+02 3.500000E-02 
4.640859E+02 3.400000E+02 3.288053E-06 1.550776E-02 3.299523E-04 3.299523E-01 3.400000E+02 4.000000E-02 
5.118984E+02 3.400000E+02 3.726225E-06 1.757435E-02 3.739224E-04 3.739224E-01 3.400000E+02 4.490000E-02 
5.599141E+02 3.400000E+02 3.697507E-06 1.743891E-02 3.710406E-04 3.710406E-01 3.400000E+02 5.000000E-02 
6.209297E+02 3.400000E+02 6.167207E-06 2.908699E-02 6.188722E-04 6.188722E-01 3.400000E+02 7.490000E-02 
6.795391E+02 3.400000E+02 8.430174E-06 3.976004E-02 8.459583E-04 8.459583E-01 3.400000E+02 9.990000E-02 
7.455547E+02 3.400000E+02 1.614538E-05 7.614802E-02 1.620171E-03 1.620171E+00 3.400000E+02 1.998000E-01 
8.079766E+02 3.400000E+02 2.394032E-05 1.129120E-01 2.402384E-03 2.402384E+00 3.400000E+02 2.996000E-01 
8.675938E+02 3.400000E+02 3.168933E-05 1.494595E-01 3.179989E-03 3.179989E+00 3.400000E+02 3.994000E-01 
9.254062E+02 3.400000E+02 3.912041E-05 1.845074E-01 3.925689E-03 3.925689E+00 3.400000E+02 4.992000E-01 
9.904453E+02 3.400000E+02 5.686896E-05 2.682166E-01 5.706735E-03 5.706735E+00 3.400000E+02 7.488000E-01 
1.052664E+03 3.400000E+02 7.297248E-05 3.441672E-01 7.322706E-03 7.322706E+00 3.400000E+02 9.982000E-01 
1.114273E+03 3.400000E+02 8.785642E-05 4.143657E-01 8.816292E-03 8.816292E+00 3.400000E+02 1.247400E+00 
1.179906E+03 3.400000E+02 1.017332E-04 4.798142E-01 1.020881E-02 1.020881E+01 3.400000E+02 1.496600E+00 
1.246945E+03 3.399000E+02 8.784622E-05 4.143176E-01 8.815269E-03 8.815269E+00 3.399000E+02 1.252600E+00 
1.311156E+03 3.399000E+02 7.335245E-05 3.459592E-01 7.360835E-03 7.360835E+00 3.399000E+02 1.001800E+00 
1.377180E+03 3.399000E+02 5.778878E-05 2.725548E-01 5.799038E-03 5.799038E+00 3.399000E+02 7.513000E-01 
1.447594E+03 3.400000E+02 3.969872E-05 1.872349E-01 3.983721E-03 3.983721E+00 3.400000E+02 5.008000E-01 
1.509227E+03 3.400000E+02 3.157241E-05 1.489080E-01 3.168256E-03 3.168256E+00 3.400000E+02 4.006000E-01 
1.572844E+03 3.400000E+02 2.405542E-05 1.134549E-01 2.413934E-03 2.413934E+00 3.400000E+02 3.004000E-01 
1.640680E+03 3.400000E+02 1.630920E-05 7.692066E-02 1.636610E-03 1.636610E+00 3.400000E+02 2.002000E-01 
1.714695E+03 3.400000E+02 8.215230E-06 3.874628E-02 8.243890E-04 8.243890E-01 3.400000E+02 1.000000E-01 
1.777516E+03 3.400000E+02 6.163731E-06 2.907060E-02 6.185234E-04 6.185234E-01 3.400000E+02 7.500000E-02 
1.842312E+03 3.400000E+02 4.059559E-06 1.914649E-02 4.073721E-04 4.073721E-01 3.400000E+02 5.000000E-02 
1.890336E+03 3.400000E+02 3.489044E-06 1.645572E-02 3.501216E-04 3.501216E-01 3.400000E+02 4.500000E-02 
1.945547E+03 3.400000E+02 3.039139E-06 1.433378E-02 3.049741E-04 3.049741E-01 3.400000E+02 4.000000E-02 
2.000977E+03 3.400000E+02 2.589598E-06 1.221357E-02 2.598633E-04 2.598633E-01 3.400000E+02 3.500000E-02 
2.055984E+03 3.400000E+02 2.423966E-06 1.143238E-02 2.432422E-04 2.432422E-01 3.400000E+02 3.000000E-02 
2.112203E+03 3.400000E+02 2.073029E-06 9.777229E-03 2.080261E-04 2.080261E-01 3.400000E+02 2.500000E-02 
2.173617E+03 3.400000E+02 1.661918E-06 7.838267E-03 1.667716E-04 1.667716E-01 3.400000E+02 2.000000E-02 
