Wed Jun 14 08:22:50 2023

        Time,      Tsample,     Integral,       Moment,            M,      M(Mass), Tsample(Aver),            H
           s,            K,           Vs,          emu,     emu/cm^3,        emu/g,            K,            T

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
4.960938E+00 3.401000E+02 2.556747E-07 1.205863E-03 2.565666E-05 2.565666E-02 3.401000E+02 1.000000E-02 
1.219141E+01 3.400000E+02 3.274388E-07 1.544331E-03 3.285811E-05 3.285811E-02 3.400000E+02 1.000000E-02 
1.886133E+01 3.400000E+02 3.093398E-07 1.458969E-03 3.104190E-05 3.104190E-02 3.400000E+02 1.000000E-02 
2.554102E+01 3.400000E+02 3.728535E-07 1.758525E-03 3.741542E-05 3.741542E-02 3.400000E+02 1.000000E-02 
3.229102E+01 3.399000E+02 4.393020E-07 2.071923E-03 4.408346E-05 4.408346E-02 3.399000E+02 1.000000E-02 
3.870117E+01 3.399000E+02 4.591513E-07 2.165540E-03 4.607531E-05 4.607531E-02 3.399000E+02 1.000000E-02 
4.470117E+01 3.398000E+02 5.790779E-07 2.731161E-03 5.810981E-05 5.810981E-02 3.398000E+02 1.000000E-02 
5.146094E+01 3.397000E+02 6.036323E-07 2.846969E-03 6.057381E-05 6.057381E-02 3.397000E+02 1.000000E-02 
5.837109E+01 3.396000E+02 6.188961E-07 2.918960E-03 6.210552E-05 6.210552E-02 3.396000E+02 1.000000E-02 
6.430078E+01 3.395000E+02 4.411465E-07 2.080622E-03 4.426855E-05 4.426855E-02 3.395000E+02 1.000000E-02 
7.107031E+01 3.394000E+02 4.677371E-07 2.206033E-03 4.693688E-05 4.693688E-02 3.394000E+02 1.000000E-02 
7.757031E+01 3.392000E+02 5.189021E-07 2.447348E-03 5.207124E-05 5.207124E-02 3.392000E+02 1.000000E-02 
8.390039E+01 3.390000E+02 4.380663E-07 2.066094E-03 4.395946E-05 4.395946E-02 3.390000E+02 1.000000E-02 
9.083984E+01 3.389000E+02 5.545907E-07 2.615670E-03 5.565255E-05 5.565255E-02 3.389000E+02 1.000000E-02 
9.774023E+01 3.386000E+02 7.488631E-07 3.531935E-03 7.514756E-05 7.514756E-02 3.386000E+02 1.000000E-02 
1.041914E+02 3.384000E+02 6.838730E-07 3.225416E-03 6.862587E-05 6.862587E-02 3.384000E+02 1.000000E-02 
1.109004E+02 3.382000E+02 1.107933E-06 5.225453E-03 1.111799E-04 1.111799E-01 3.382000E+02 1.000000E-02 
1.176113E+02 3.380000E+02 1.131546E-06 5.336821E-03 1.135494E-04 1.135494E-01 3.380000E+02 1.000000E-02 
1.240508E+02 3.378000E+02 4.743488E-07 2.237217E-03 4.760037E-05 4.760037E-02 3.378000E+02 1.000000E-02 
1.304902E+02 3.375000E+02 6.105850E-07 2.879761E-03 6.127152E-05 6.127152E-02 3.375000E+02 1.000000E-02 
1.368809E+02 3.372000E+02 6.447127E-07 3.040721E-03 6.469619E-05 6.469619E-02 3.372000E+02 1.000000E-02 
1.433516E+02 3.370000E+02 5.081468E-07 2.396622E-03 5.099195E-05 5.099195E-02 3.370000E+02 1.000000E-02 
1.497598E+02 3.367000E+02 7.367586E-07 3.474846E-03 7.393289E-05 7.393289E-02 3.367000E+02 1.000000E-02 
1.560000E+02 3.364000E+02 1.359591E-06 6.412373E-03 1.364335E-04 1.364335E-01 3.364000E+02 1.000000E-02 
1.625098E+02 3.362000E+02 1.065750E-06 5.026498E-03 1.069468E-04 1.069468E-01 3.362000E+02 1.000000E-02 
1.687207E+02 3.359000E+02 1.319231E-06 6.222014E-03 1.323833E-04 1.323833E-01 3.359000E+02 1.000000E-02 
1.754004E+02 3.356000E+02 7.530089E-07 3.551489E-03 7.556359E-05 7.556359E-02 3.356000E+02 1.000000E-02 
1.817500E+02 3.353000E+02 8.685791E-07 4.096564E-03 8.716093E-05 8.716093E-02 3.353000E+02 1.000000E-02 
1.883711E+02 3.350000E+02 9.276650E-07 4.375236E-03 9.309013E-05 9.309013E-02 3.350000E+02 1.000000E-02 
1.948008E+02 3.347000E+02 1.466553E-06 6.916845E-03 1.471669E-04 1.471669E-01 3.347000E+02 1.000000E-02 
2.012109E+02 3.344000E+02 1.947423E-06 9.184820E-03 1.954217E-04 1.954217E-01 3.344000E+02 1.000000E-02 
2.075312E+02 3.341000E+02 1.954336E-06 9.217422E-03 1.961154E-04 1.961154E-01 3.341000E+02 1.000000E-02 
2.139512E+02 3.338000E+02 1.817029E-06 8.569831E-03 1.823368E-04 1.823368E-01 3.338000E+02 1.000000E-02 
2.199902E+02 3.336000E+02 1.719224E-06 8.108544E-03 1.725222E-04 1.725222E-01 3.336000E+02 1.000000E-02 
2.264102E+02 3.333000E+02 1.977394E-06 9.326177E-03 1.984293E-04 1.984293E-01 3.333000E+02 1.000000E-02 
2.334102E+02 3.329000E+02 2.302531E-06 1.085965E-02 2.310564E-04 2.310564E-01 3.329000E+02 1.000000E-02 
2.398203E+02 3.326000E+02 2.234478E-06 1.053868E-02 2.242273E-04 2.242273E-01 3.326000E+02 1.000000E-02 
