Wed Jun 14 19:42:14 2023

        Time,      Tsample,     Integral,       Moment,            M,      M(Mass), Tsample(Aver),            H
           s,            K,           Vs,          emu,     emu/cm^3,        emu/g,            K,            T

         6:0          6:0          6:0          6:0          6:0          6:0          6:0          6:0 
7.265625E+00 1.000200E+02 6.869770E-06 3.240056E-02 6.893736E-04 6.893736E-01 1.000200E+02 0.000000E+00 
1.018281E+02 1.000100E+02 5.531177E-05 2.608722E-01 5.550473E-03 5.550473E+00 1.000100E+02 1.000000E-02 
1.818984E+02 1.000100E+02 1.057875E-04 4.989359E-01 1.061566E-02 1.061566E+01 1.000100E+02 2.000000E-02 
2.515469E+02 9.999000E+01 1.523967E-04 7.187634E-01 1.529284E-02 1.529284E+01 9.999000E+01 3.000000E-02 
3.214297E+02 9.999000E+01 1.983446E-04 9.354717E-01 1.990365E-02 1.990365E+01 9.999000E+01 4.000000E-02 
3.824766E+02 9.999000E+01 2.410925E-04 1.137088E+00 2.419336E-02 2.419336E+01 9.999000E+01 4.990000E-02 
4.513672E+02 9.997000E+01 3.364970E-04 1.587053E+00 3.376709E-02 3.376709E+01 9.997000E+01 7.490000E-02 
5.153672E+02 9.997000E+01 4.145024E-04 1.954957E+00 4.159484E-02 4.159484E+01 9.997000E+01 9.980000E-02 
5.866094E+02 1.000000E+02 6.091926E-04 2.873194E+00 6.113179E-02 6.113179E+01 1.000000E+02 1.997000E-01 
6.520156E+02 9.999000E+01 6.859623E-04 3.235270E+00 6.883554E-02 6.883554E+01 9.999000E+01 2.995000E-01 
7.142344E+02 1.000100E+02 7.109740E-04 3.353235E+00 7.134544E-02 7.134544E+01 1.000100E+02 3.994000E-01 
7.748203E+02 9.998000E+01 7.255615E-04 3.422036E+00 7.280927E-02 7.280927E+01 9.998000E+01 4.990000E-01 
8.414375E+02 9.999000E+01 7.463584E-04 3.520122E+00 7.489621E-02 7.489621E+01 9.999000E+01 7.486000E-01 
9.054375E+02 9.999000E+01 7.502862E-04 3.538647E+00 7.529037E-02 7.529037E+01 9.999000E+01 9.980000E-01 
9.688984E+02 9.999000E+01 7.547650E-04 3.559771E+00 7.573981E-02 7.573981E+01 9.999000E+01 1.247600E+00 
1.034953E+03 9.997000E+01 7.588959E-04 3.579254E+00 7.615434E-02 7.615434E+01 9.997000E+01 1.496300E+00 
1.101188E+03 1.000000E+02 7.518197E-04 3.545880E+00 7.544425E-02 7.544425E+01 1.000000E+02 1.252600E+00 
1.165828E+03 1.000100E+02 7.513291E-04 3.543566E+00 7.539502E-02 7.539502E+01 1.000100E+02 1.001900E+00 
1.231898E+03 1.000000E+02 7.448904E-04 3.513199E+00 7.474891E-02 7.474891E+01 1.000000E+02 7.513000E-01 
1.301328E+03 1.000100E+02 7.256559E-04 3.422481E+00 7.281875E-02 7.281875E+01 1.000100E+02 5.008000E-01 
1.362750E+03 1.000100E+02 7.107157E-04 3.352017E+00 7.131951E-02 7.131951E+01 1.000100E+02 4.006000E-01 
1.427164E+03 1.000000E+02 6.824014E-04 3.218476E+00 6.847821E-02 6.847821E+01 1.000000E+02 3.004000E-01 
1.495391E+03 1.000200E+02 6.103635E-04 2.878716E+00 6.124928E-02 6.124928E+01 1.000200E+02 2.002000E-01 
1.569406E+03 9.999000E+01 4.165719E-04 1.964718E+00 4.180252E-02 4.180252E+01 9.999000E+01 1.000000E-01 
1.631828E+03 9.997000E+01 3.430491E-04 1.617956E+00 3.442459E-02 3.442459E+01 9.997000E+01 7.500000E-02 
1.696234E+03 9.997000E+01 2.499946E-04 1.179074E+00 2.508668E-02 2.508668E+01 9.997000E+01 5.010000E-02 
1.758648E+03 1.000000E+02 2.079865E-04 9.809468E-01 2.087121E-02 2.087121E+01 1.000000E+02 4.000000E-02 
1.820867E+03 1.000200E+02 1.631878E-04 7.696582E-01 1.637571E-02 1.637571E+01 1.000200E+02 3.000000E-02 
1.891328E+03 1.000100E+02 1.140583E-04 5.379443E-01 1.144562E-02 1.144562E+01 1.000100E+02 2.000000E-02 
1.978414E+03 1.000200E+02 6.516962E-05 3.073658E-01 6.539698E-03 6.539698E+00 1.000200E+02 1.000000E-02 
2.047039E+03 9.997000E+01 9.678267E-06 4.564655E-02 9.712031E-04 9.712031E-01 9.997000E+01 0.000000E+00 
2.114438E+03 9.998000E+01 -4.527763E-05 -2.135473E-01 -4.543559E-03 -4.543559E+00 9.998000E+01 -1.000000E-02 
2.178070E+03 9.999000E+01 -9.875665E-05 -4.657755E-01 -9.910118E-03 -9.910118E+00 9.999000E+01 -2.000000E-02 
2.241695E+03 9.998000E+01 -1.484450E-04 -7.001255E-01 -1.489629E-02 -1.489629E+01 9.998000E+01 -3.000000E-02 
2.297297E+03 9.996000E+01 -1.951401E-04 -9.203580E-01 -1.958209E-02 -1.958209E+01 9.996000E+01 -3.990000E-02 
2.353930E+03 9.998000E+01 -2.388023E-04 -1.126286E+00 -2.396354E-02 -2.396354E+01 9.998000E+01 -5.000000E-02 
2.418141E+03 9.999000E+01 -3.354001E-04 -1.581880E+00 -3.365702E-02 -3.365702E+01 9.999000E+01 -7.490000E-02 
